AGE,LIB,total_clients,total_managers,total_products,active_products,DISTRICT,products_per_client,active_products_ratio,clients_per_manager
303,ARIANA                        ,515.0,4.0,2354.0,2345.0,District Tunis Nord,4.570873786407767,0.9961767204757859,128.75
404,PALMARIUM                     ,630.0,3.0,2897.0,2891.0,SIEGE,4.598412698412698,0.9979288919571971,210.0
505,CENTRE URBAIN                 ,290.0,3.0,924.0,917.0,District Tunis Nord,3.1862068965517243,0.9924242424242424,96.66666666666667
606,MEGRINE                       ,357.0,4.0,1612.0,1607.0,District Tunis Sud,4.515406162464986,0.9968982630272953,89.25
707,BERGES DU LAC                 ,381.0,4.0,1576.0,1570.0,District Tunis Nord,4.136482939632546,0.9961928934010152,95.25
808,SOUKRA                        ,304.0,3.0,1013.0,1003.0,District Tunis Nord,3.3322368421052633,0.9901283316880553,101.33333333333333
909,SOUSSE                        ,358.0,3.0,1524.0,1522.0,District Grand Sahel,4.256983240223463,0.9986876640419947,119.33333333333333
1010,BARDO                         ,499.0,4.0,2296.0,2295.0,District Tunis Nord,4.601202404809619,0.9995644599303136,124.75
1111,LA MARSA                      ,529.0,4.0,2026.0,2015.0,District Tunis Nord,3.829867674858223,0.9945705824284304,132.25
1212,SFAX                          ,356.0,4.0,1054.0,1051.0,District Grand Centre,2.960674157303371,0.9971537001897534,89.0
1313,SFAX 2                        ,313.0,3.0,1214.0,1213.0,District Grand Centre,3.878594249201278,0.999176276771005,104.33333333333333
1414,BEN AROUS                     ,515.0,4.0,2384.0,2381.0,District Tunis Sud,4.629126213592233,0.9987416107382551,128.75
1515,HAMMEM SOUSSE                 ,433.0,5.0,1356.0,1353.0,District Grand Sahel,3.131639722863741,0.9977876106194691,86.6
1616,ALAIN SAVARY                  ,209.0,3.0,734.0,732.0,District Tunis Sud,3.511961722488038,0.997275204359673,69.66666666666667
1717,BIZERTE                       ,702.0,4.0,2854.0,2852.0,District Tunis Nord,4.065527065527066,0.9992992291520673,175.5
1818,NABEUL                        ,505.0,4.0,2209.0,2205.0,District Tunis Sud,4.374257425742575,0.9981892258940697,126.25
1919,GABES                         ,441.0,3.0,1443.0,1437.0,District Grand Sud,3.272108843537415,0.9958419958419958,147.0
99999,SITE CENTRAL                  ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
9999,TRESORERIE                    ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
9797,SBE                           ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5050,CAISSE CENTRALE               ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,CENTRALE                      ,220.0,5.0,683.0,682.0,SIEGE,3.1045454545454545,0.9985358711566618,44.0
101,ENNASR                        ,311.0,3.0,1441.0,1441.0,District Tunis Nord,4.633440514469453,1.0,103.66666666666667
202,LIBERTE                       ,360.0,3.0,1265.0,1257.0,District Tunis Nord,3.513888888888889,0.9936758893280633,120.0
5151,COMPENSATION                  ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5252,MONETIQUE                     ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5454,SGMT                          ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5353,PORTEFEUILLE                  ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5555,MOYENS GENERAUX               ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5656,SALLE DE MARCHE               ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5757,SIEGE                         ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2020,MONASTIR                      ,527.0,4.0,2411.0,2404.0,District Grand Sahel,4.574952561669829,0.997096640398175,131.75
9991,CONTENTIEUX                   ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
97250,COMPTABILITE                  ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
97260,PORTEFEUILLE INVESTISSEMENt   ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
97590,TARIFICATION ARRETES          ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
97700,RESSOURCES HUMAINES           ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2121,LE KRAM                       ,453.0,4.0,1500.0,1498.0,District Tunis Nord,3.3112582781456954,0.9986666666666667,113.25
2222,MENZAH 9                      ,575.0,3.0,3101.0,3092.0,District Tunis Nord,5.39304347826087,0.9970977104159948,191.66666666666666
2323,GROMBALIA                     ,542.0,4.0,2318.0,2309.0,District Tunis Sud,4.276752767527675,0.9961173425366695,135.5
2424,MGHIRA                        ,455.0,5.0,2238.0,2237.0,District Tunis Sud,4.918681318681319,0.9995531724754245,91.0
2525,MOUROUJ6                      ,440.0,3.0,1833.0,1830.0,District Tunis Sud,4.165909090909091,0.9983633387888707,146.66666666666666
2727,SFAX 3                        ,287.0,4.0,1076.0,1075.0,District Grand Centre,3.749128919860627,0.9990706319702602,71.75
2626,DJERBA                        ,371.0,3.0,1041.0,1039.0,District Grand Sud,2.8059299191374665,0.9980787704130644,123.66666666666667
2828,MONTPLAISIR                   ,312.0,3.0,1407.0,1400.0,District Tunis Nord,4.509615384615385,0.9950248756218906,104.0
2929,El Ghazella                   ,439.0,4.0,1740.0,1737.0,District Tunis Nord,3.9635535307517085,0.9982758620689656,109.75
3131,BEJA                          ,764.0,3.0,3873.0,3868.0,District Nord Ouest,5.069371727748691,0.9987090111025045,254.66666666666666
3030,RADES                         ,431.0,3.0,2117.0,2108.0,District Tunis Sud,4.911832946635731,0.9957487009919698,143.66666666666666
3232,MOUROUJ1                      ,474.0,3.0,2357.0,2341.0,District Tunis Sud,4.972573839662447,0.9932117098005939,158.0
3333,SFAX4                         ,351.0,3.0,1195.0,1193.0,District Grand Centre,3.4045584045584047,0.998326359832636,117.0
6000,Direction generale            ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6100,Developpement                 ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6101,Recouvrement amiable          ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6120,Centre d Affaire Tunis Nord   ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6130,Centre d Affaire Tunis Sud    ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6200,Finance                       ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6201,Salle de change               ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6202,Tresorerie                    ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6210,Affaires juridiques           ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6230,Recouvrement judiciaire & con ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6240,Participations & Filiales     ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6300,Operations                    ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6310,BOI_MC                        ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6320,SI                            ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6330,Mise en place des financement ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6340,Monetique & MDP               ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6350,Achats                        ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6360,Prestation client             ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6400,Risques                       ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6500,Conformite                    ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6600,DRH                           ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6660,Agence personnel              ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6700,Moyens Generaux               ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6800,Audit                         ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6110,Centre d Affaire Sud Sahel    ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5858,SIEGE a repartir              ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5959,Global Banque a repartir      ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5800,Siege a repartir              ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5900,Global Banque a repartir      ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5000,Agence detaches               ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6140,Centre d appel                ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3434,LAC 2                         ,208.0,2.0,1144.0,1142.0,District Tunis Nord,5.5,0.9982517482517482,104.0
3535,INTERNATIONAL                 ,0.0,0.0,0.0,0.0,SIEGE,0.0,0.0,0.0
3636,HAMMAMET                      ,132.0,2.0,645.0,640.0,District Grand Sahel,4.886363636363637,0.9922480620155039,66.0
3737,SOUSSE 3                      ,101.0,1.0,246.0,246.0,District Tunis Sud,2.4356435643564356,1.0,101.0
3838,Menzah 6                      ,94.0,2.0,248.0,247.0,District Tunis Nord,2.6382978723404253,0.9959677419354839,47.0
3939,MAHDIA                        ,90.0,2.0,214.0,214.0,0,2.3777777777777778,1.0,45.0
