CLI,SEXT,DNA,AGE,TCLI,GES,DOU,UTIC,age,client_seniority_days,age_group,total_products,active_products,active_products_ratio,avg_product_duration,std_product_duration,max_product_duration,unique_packs,total_accounts,closed_accounts,closed_accounts_ratio,unique_account_types,Segment Client,Actif/Inactif,District
43568328,F,1980-04-26,404,1,42,2024-01-02,000635    ,45.22655715263518,563,45-55,1.0,1.0,1.0,190.0,0.0,190.0,1.0,1.0,1.0,1.0,1.0,NON AFFECTE,NON AFFECTE,SIEGE
43568402,F,1986-08-26,1818,1,182,2024-01-02,000537    ,38.893908281998634,563,35-45,3.0,4.0,1.0,1643.0,257.3868683519033,1825.0,1.0,1.0,0.0,0.0,1.0,NON AFFECTE,NON AFFECTE,SIEGE
43568476,F,1992-01-10,2222,1,223,2024-01-02,000249    ,33.51950718685831,563,25-35,3.0,4.0,1.0,1809.0,0.0,1809.0,1.0,1.0,0.0,0.0,1.0,NON AFFECTE,NON AFFECTE,SIEGE
43568551, ,,3030,2,304,2024-01-02,010133    ,0.0,563,,7.0,7.0,0.875,1733.75,1379.4364489408952,3653.0,2.0,3.0,0.0,0.0,2.0,NON AFFECTE,NON AFFECTE,SIEGE
43568551, ,,3030,2,304,2024-01-02,010133    ,0.0,563,,7.0,7.0,0.875,1733.75,1379.4364489408952,3653.0,2.0,3.0,0.0,0.0,2.0,PETITE ENTREPRISE,ACTIF,District Tunis Sud
43568625,M,1981-08-02,101,1,10,2024-01-02,000455    ,43.95893223819302,563,35-45,8.0,10.0,1.0,812.0,759.3431371916125,1802.0,3.0,3.0,0.0,0.0,3.0,NON AFFECTE,NON AFFECTE,SIEGE
43568699,M,2001-11-23,3030,1,303,2024-01-02,000551    ,23.64955509924709,563,<25,6.0,7.0,1.0,912.5,772.8677118368964,1459.0,1.0,2.0,0.0,0.0,2.0,NON AFFECTE,NON AFFECTE,SIEGE
43568699,M,2001-11-23,3030,1,303,2024-01-02,000551    ,23.64955509924709,563,<25,6.0,7.0,1.0,912.5,772.8677118368964,1459.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,District Tunis Sud
43568774,F,1995-07-30,2727,1,273,2024-01-02,010214    ,29.968514715947983,563,25-35,9.0,10.0,1.0,1645.2,1329.8322074607759,3021.0,2.0,2.0,0.0,0.0,2.0,TRES PETITE ENTREPRISE,INACTIF,SIEGE
43568774,F,1995-07-30,2727,1,273,2024-01-02,010214    ,29.968514715947983,563,25-35,9.0,10.0,1.0,1645.2,1329.8322074607759,3021.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,District Grand Centre
43568848,M,1978-11-30,2020,1,202,2024-01-02,000609    ,46.63107460643395,563,45-55,7.0,8.0,1.0,-2315.0,5613.201492909372,1455.0,2.0,8.0,0.0,0.0,3.0,TRES PETITE ENTREPRISE,INACTIF,SIEGE
43568922,F,2064-02-11,1010,1,101,2024-01-02,010094    ,-38.56810403832991,563,,9.0,10.0,1.0,1237.0,839.0283070314135,2205.0,2.0,2.0,0.0,0.0,2.0,NON AFFECTE,NON AFFECTE,SIEGE
43568997,F,1986-08-18,1010,1,101,2024-01-02,010094    ,38.91581108829569,563,35-45,6.0,7.0,1.0,909.5,768.6250711497771,1453.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43569071,M,1996-05-30,404,1,42,2024-01-02,000635    ,29.13347022587269,563,25-35,7.0,8.0,1.0,912.5,772.8677118368964,1459.0,2.0,8.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43569145,F,1998-10-24,1010,1,101,2024-01-02,010094    ,26.732375085557837,563,25-35,7.0,8.0,1.0,738.0,618.5240496536896,1452.0,1.0,2.0,0.0,0.0,2.0,PREMIUMS ELITE,ACTIF,SIEGE
43569220,M,1995-02-08,1212,1,122,2024-01-02,010150    ,30.439425051334702,563,25-35,4.0,5.0,1.0,1061.0,1080.4591616530447,1825.0,2.0,3.0,1.0,0.3333333333333333,3.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43569294,F,2000-06-17,1212,1,122,2024-01-02,010150    ,25.084188911704313,563,25-35,3.0,4.0,1.0,1825.0,0.0,1825.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
