CLI,Agence Client,Type Client,Gestionnaire Client,Avec / Sans Compte,Segment Client,Segment Actif/Équipé,Actif/Inactif,Equipé/NonEquipé,District,Date d'EER,Statut Dossier,CLT/NONCLT,DATE SORTIE
43568328,00000-CENTRALE,Entreprise Individuelle,002-CHARGE CLIENTELE 2 SRCL SIEGE,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,10/09/2024,DRC à numériser,CLT,
43568402,00000-CENTRALE,Entreprise Individuelle,003-CHARGE SENIOR SRCL SIEGE,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,04/12/2023,DRC Archivé,CLT,
43568476,00000-CENTRALE,Entreprise Individuelle,003-CHARGE SENIOR SRCL SIEGE,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,04/12/2023,DRC Archivé,CLT,
43568551,00000-CENTRALE,Entreprise Individuelle,003-CHARGE SENIOR SRCL SIEGE,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,07/06/2023,DRC Archivé,CLT,
43568625,00000-CENTRALE,Entreprise Individuelle,004-CHARGE CLIENTELE 4 SRCL SIEGE,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,04/06/2023,DRC Archivé,CLT,
43568699,00000-CENTRALE,Entreprise Individuelle,004-CHARGE CLIENTELE 4 SRCL SIEGE,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,05/06/2024,DRC Archivé,CLT,
43568774,00000-CENTRALE,Entreprise Individuelle,004-CHARGE CLIENTELE 4 SRCL SIEGE,Avec compte,TRES PETITE ENTREPRISE,TPE INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,01/02/2023,DRC à numériser,NON CLT,30/07/2024
43568848,00000-CENTRALE,Entreprise Individuelle,004-CHARGE CLIENTELE 4 SRCL SIEGE,Avec compte,TRES PETITE ENTREPRISE,TPE INACTIF NON EQUIPE,INACTIF,NON EQUIPE,SIEGE,04/07/2023,DRC à numériser,CLT,
43568922,00000-CENTRALE,Entreprise Individuelle,005-CHARGE CLIENTELE 5 SRCL SIEGE,Avec compte,NON AFFECTE,NON AFFECTE,NON AFFECTE,NON AFFECTE,SIEGE,14/02/2025,DRC Archivé,CLT,
43568997,00000-CENTRALE,Particulier,000-DIRECTEUR SUCCURSALE SIEGE,Avec compte,ADULTES GRAND PUBLIC,G.PUBLIC ACTIF EQUIPE,ACTIF,EQUIPE,SIEGE,23/02/2023,DRC à numériser,NON CLT,11/11/2024
