CPRO,LIB,ATT,CGAM
230,COMPTE DE RECOUVREMENT,01,220
666,BDC,11,270
616,GARANTIES,11,003
653,VISA ELECTRON NATIONALE,21,650
650,MASTERCARD CLASSIQUE NATIONALE,21,650
640,Assurances MCN,71,640
641,Assurances MGN,71,640
642,Assurances MGI,71,640
643,Assurances VEN,71,640
651,MASTERCARD GOLD NATIONALE,21,650
644,Assurances VBN,71,640
645,Assurances VBI,71,640
300,AVANCE SUR ATTESTAION CT,11,400
652,MASTERCARD GOLD INTERNATIONALE,21,650
301, AVANCE SUR  FACTURES CT,11,400
302, AVANCE/ MARCHANDISES  CT,11,400
303, CREDITS AGRICOLES CT,11,400
304,CREDIT CAMPAGNE  CT,11,400
305,CREDIT DE FINANCEMENT DE STOCK,11,400
306,FINANCEMENT DEVISE CT,11,400
307,CREDIT DEMARRAGE HUILE CT,11,400
308,CREDIT RELAIS,11,400
309,DECOUVERT MOBILISE CT,11,400
310,DECOUVERT MOBILISE RENOUV. CT,11,400
311,MCNE  (MOBILI.CREANCE/ETRAN),11,400
312,MOBILI.CREANCE ADMINISTRATIVE,11,400
313,PREFINANCEMENT DE MARCHE CT,11,400
654,VISA GOLD BUSUNESS NATIONALE,21,650
314,PREFINANCEMENT D'EXPORTATIO CT,11,400
315,CREDIT DE CONSOLIDA. (I+P)  CT,11,400
316,CREDIT DE REPORT (P)  CT,11,400
655,VISA GOLD BUSINESS INTERNAT,21,650
318,CREDIT INVESTISSEMENT CT,11,400
319,CREDIT PARTICIPATIF/ENSE   CT,11,400
320,CREDIT SYNDIQUE   CT,11,400
321,CREDIT PROMOTEUR IMMO  CT,11,400
322,CREDIT AUTO NEUVE PERSONNEL CT,11,400
323,CREDIT IMMEDIAT CT,11,400
325,CREDIT VOITURE NEUVE CT,11,400
326,CREDIT RELAIS PARTICULIER CT,11,400
327,CREDIT RELAIS PERSONNEL CT,11,400
328,AUTO OCCASION PERSONNEL CT,11,400
329,IMMEDIAT PERSONNEL CT,11,400
330,PARTICIPATIF PARTICULIER CT,11,400
331,CONSOLID PARTICULIER I+P CT,11,400
332,REPORT PARTICULIER(P) CT,11,400
333,CONSOLID PARTIC (I) CT,11,400
334,CONSOLD PERSONNEL (I+P) CT,11,400
335,REPORT PERSONNEL,11,400
336,CONSOLID PERSONNEL (I) CT,11,400
337,CREDIT INVESTIS DEVISE CT,11,400
338,CREDIT PARTICIPATIF MT,11,400
339,RELAIS MT,11,400
340,CREDIT INVESTISSEMENT MT,11,400
341,CREDIT SYNDIQUE MT,11,400
343,CONSOLID (P+I) MT,11,400
202,Compte épargne BAYTI-K,01,200
204,Compte Epargne Promotion Proje,01,200
205,Compte Epargne Investissement,01,200
344,CREDIT A L'ETAT MT,11,400
345,CREDIT REPORT (P) MT,11,400
347,CREDIT 2121 MT,11,400
348,CREDIT PROMOTEUR IMMOBILIER MT,11,400
349,CREDIT AGRICOLE MT,11,400
351,AMENAGEMENT CONFORT+ MT,11,400
352,ACHAT TERRAIN MT,11,400
353,CREDIT AUTO OCCASION MT,11,400
355,CREDIT IMMEDIAT MT,11,400
356,CREDIT IMMOBILIER NEUF MT,11,400
357,CREDIT IMMOBILIER ANCIEN MT,11,400
358,CREDIT VOITURE NEUVE MT,11,400
359,PARTICIPATIF PARTICULIER MT,11,400
360,AMENAG.CONFORT+PERSONNEL MT,11,400
361,ACHAT TERRAIN PERSONNEL MT,11,400
362,AUTO OCCASION PERSONNEL MT,11,400
363,AUTO NEUVE PERSONNEL MT,11,400
