CLI,UTSOU,CPACK,CPRO,ETA,DDSOU,DFSOU
43568402,000537    ,000077,201,VA,2024-01-02,
43568402,000537    ,000077,210,VA,2024-01-02,2028-01-02
43568402,000537    ,000077,665,VA,2024-01-02,2028-12-31
43568402,000537    ,000077,   ,VA,2024-01-02,
43568476,000249    ,000077,201,VA,2024-01-02,
43568551,010133    ,100002,221,VA,2024-01-02,
43568625,000455    ,000011,201,VA,2024-01-02,
43568328,000635    ,      ,222,VA,2024-01-02,2024-07-10
43568699,000551    ,000011,222,VA,2024-01-02,
43568699,000551    ,000011,201,VA,2024-01-02,
43568699,000551    ,000011,653,VA,2024-01-02,2027-12-31
43568699,000551    ,000011,210,VA,2024-01-02,
43568699,000551    ,000011,643,VA,2024-01-02,2025-01-02
43568699,000551    ,000011,213,VA,2024-01-02,
43568774,010214    ,000011,222,VA,2024-01-02,
43568848,000609    ,000011,222,VA,2024-01-02,
43568922,010094    ,000022,222,VA,2024-01-02,
43568997,010094    ,000011,222,VA,2024-01-02,
43569071,000635    ,000011,222,VA,2024-01-02,
43568774,010214    ,000011,201,VA,2024-01-02,
43568774,010214    ,000011,490,VA,2024-01-02,2032-04-10
43568774,010214    ,000011,653,VA,2024-01-02,2027-12-31
43568774,010214    ,000011,643,VA,2024-01-02,2025-01-02
43568774,010214    ,000011,210,VA,2024-01-02,
43569220,010150    ,000077,201,VA,2024-01-02,
43568774,010214    ,000011,613,VA,2024-01-02,2025-01-02
43568774,010214    ,000011,213,VA,2024-01-02,
43568774,010214    ,000011,   ,VA,2024-01-02,
43569294,010150    ,000077,201,VA,2024-01-02,
43569368,010094    ,      ,222,VA,2024-01-02,
43569443,010150    ,100001,221,VA,2024-01-02,
43569294,010150    ,000077,665,VA,2024-01-02,2028-12-31
43569294,010150    ,000077,210,VA,2024-01-02,
43569294,010150    ,000077,   ,VA,2024-01-02,
43569145,010094    ,000011,222,VA,2024-01-02,
43569517,000459    ,      ,222,VA,2024-01-02,
43569591,000384    ,      ,201,VA,2024-01-02,2024-12-05
43569666,010094    ,000011,222,VA,2024-01-02,
43569740,010094    ,000022,222,VA,2024-01-02,
43569814,010094    ,000033,222,VA,2024-01-02,
43569814,010094    ,000033,201,VA,2024-01-02,
43569814,010094    ,000033,651,VA,2024-01-02,2027-12-31
43569814,010094    ,000033,641,VA,2024-01-02,2025-01-02
43569814,010094    ,000033,210,VA,2024-01-02,
43569814,010094    ,000033,213,VA,2024-01-02,
43569963,000635    ,      ,222,VA,2024-01-02,
43569814,010094    ,000033,   ,VA,2024-01-02,
43568699,000551    ,000011,   ,VA,2024-01-02,
43570112,000594    ,      ,222,VA,2024-01-02,2024-01-02
43570260,010094    ,      ,203,VA,2024-01-02,
43570186,000594    ,      ,221,VA,2024-01-02,
43570335,000475    ,      ,222,VA,2024-01-02,2024-02-01
